Data Import Template,,,,,,,,,,,,,,,,,,
Table:,Supplier,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DocType:,Supplier,,,,,,,,,,,,,,,,~,~
Column Labels:,ID,Supplier Name,Supplier Group,Supplier Type,Country,Billing Currency,Website,Is Frozen,ContactName,Phone,Fax,Email,Address1,Address2,City,State,,
Column Name:,name,supplier_name,supplier_group,supplier_type,country,default_currency,website,is_frozen,contactname,phone,fax,email,address1,address2,city,state,~,~
Mandatory:,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,
Type:,Data,Data,Link,Select,Link,Link,Data,Check,Data,Data,Data,Data,Long Text,Long Text,Data,Data,,
Info:,,,Valid Supplier Group,"One of: Company, Individual",Valid Country,Valid Currency,,0 or 1,,,,,,,,,,
Start entering data below this line,,,,,,,,,,,,,,,,,,
,, MAXMAT ,All Supplier Groups,Company,FRANCE,NGN,,, MAXMAT ,+33 4 67 60 20 00  ,+33 4 67 60 21 01           ,,- 290 rue Alfred Nobel - 34000 Montpellier - France,- 290 rue Alfred Nobel - 34000 Montpellier ,,,,
,,77 Elektronika Kft.,All Supplier Groups,Company,FRANCE,NGN,http://www.e77.hu/,,Roland Tjamla Banack( Export Sales Manager ),+36-1-206-1480,+36-1-206-1481 ,tbanack@e77.hu,"1116 Budapest, Fehérvári út.98.",,HUNGARY,,,
,,ABBOTT POINT OF CARE,All Supplier Groups,Company,FRANCE,NGN,https://www.abbottpointofcare.com/,,ABBOTT POINT OF CARE,,,,"104 Windsor Center Drive, East Windsor, NJ 08520","104 Windsor Center Drive, East Windsor, NJ 08520",,,,
,,ABUL MARUF AMZAT,All Supplier Groups,Company,FRANCE,NGN,,,ABUL MARUF AMZAT,8050699403,,,"AREA 2, GARKI",,Garki ,FCT,,
,,Adaltis S.r.l.,All Supplier Groups,Company,FRANCE,EUR,www.adaltis.net,,Luisa Colacurto,+39 0774 579366,+39 0774 353085,luisa.colacurto@adaltis.net,"Via Luigi Einaudi, 7
00012 ","Guidonia Montecelio (Rome) –
Italy",,,,
,,AGBL,All Supplier Groups,Company,FRANCE,NGN,,,AGBL,,,,DUBAI,DUBAI,,,,
,,AGU FRANCIS,All Supplier Groups,Company,FRANCE,NGN,,,8032860851,,,,"SHOP 447 P1 LINE A-CLOSE, DEDE MARKET ABUJA",,Abuja,FCT,,
,,ALERE TECHNOLOGIES GMBH,All Supplier Groups,Company,FRANCE,NGN,www.AlereHIv.com,,ALERE TECHNOLOGIES GMBH,,,,"Loebstedter Str,103-105,D-07749 Jina Germany","Loebstedter Str,103-105,D-07749 Jina German",Jina,,,
,,ALFA NIG. ENTERPRISES,All Supplier Groups,Company,FRANCE,NGN,,,David,8039271956,,, Blue container@container garage                            ,"back of Arab Contractor Building,",Utako,FCT,,
,,ALLIANCE GLOBAL,All Supplier Groups,Company,FRANCE,NGN,,,ALLIANCE GLOBAL,,,mbenmarzouk@agbl.net,"1016 , CONCORD TOWERS",,DUBAI MEDIA CITY,,,
,,ALLIANCE GLOBAL FZ-LLC (AGBL),All Supplier Groups,Company,FRANCE,USD,  http://www.agbl.net,,Mohamed Ben Marzouk,+216 71 960 687 , +216 71 960 689,mbenmarzouk@agbl.net,"Rue Du Lac Constance, Résidence ""les 2 Lacs",""", Bloc 10, Escalier 2. Appart 206 Les Berges du Lac 1053 Tunis",,,,
,,Andreas Hettich GmbH & Co KG ,All Supplier Groups,Company,FRANCE,NGN,,, 'Hermann Ilona',+49 7461 7051166 ,,,Andreas Hettich GmbH & Co KG ,Föhrenstrasse 12 ,D-78532 Tuttlingen ,,,
,,APDIA,All Supplier Groups,Company,FRANCE,EUR,www.apdiagroup.com,,"Kristien Bogaert
,Pascale verstappen",+32 14 45 35 99,"
+32 14 81 29 45 ","Kristien.Bogaerts@apdia.be
Pascale.Verstappen@apdia.be",ADVANCED PRACTICAL DIAGNOSTICS BVBA,"Raadsherenstraat 3 | B-2300 Turnhout, Belgium",,,,
,,APEL,All Supplier Groups,Company,FRANCE,NGN,,,APEL,,,,Address Address,germany,,,,
,,APEL CO.LTD,All Supplier Groups,Company,FRANCE,USD,http://www.apel.co.jp/,,Kana Tamura(MS.),+81-48-280-3055,+81-48-283-5045,sales@apel.co.jp,"951, Angyouryou Negishi Kawaguchi, ","Saitama, 333-0834, Japan",,,,
,,ARIBEN LIMITED,All Supplier Groups,Company,FRANCE,NGN,,,ARIBEN,+234(80)33577229,,ba_ariben@yahoo.com,"Suite 128, lozumba commercial complex","Area 10, Garki,",Abuja,,,
,,ARTRON,All Supplier Groups,Company,FRANCE,NGN,,,,,,,,,,,,
,,Astra Instruments Limited,All Supplier Groups,Company,FRANCE,NGN,,,THERESA ADELABU,8036206243,,astrainstruments2@gmail.com,"50/52 TOYIN STREET,",P.O BOX 15960 ,Ikeja,Lagos,,
,,ATOM SCIENTIFIC LIMITED,All Supplier Groups,Company,FRANCE,NGN,ENQUIRES@ATOMSCIENTIFIC.COM,,Joanne Matthews,0161 366 5123 ,01704 337167       ,rowexport@atomscientific.com,UNIT 2B EAST BUSINESS PARK,REXCINE WAY HYDE,CHESHIRE,,,
,,"Autobio Diagnostics Co., Ltd",All Supplier Groups,Company,FRANCE,USD,,,Leo Yang,+86-13526828037,,Yanglisheng@autobio.com.cn,"No. 87 Jingbei Yi Road, ",National Eco & TeC Development Area.,Zhengzhou,,,
,,AVISHKAR INTERNATIONAL PVT.LTD,All Supplier Groups,Company,FRANCE,NGN,www.avishkar.com,,AVISHKAR INTERNATIONAL PVT.LTD,,,info@avishkar.com,"Ghia Building,Ground Floor,119/123 princess Street,Mumbai","Ghia Building,Ground Floor,119/123 princess Street,Mumba",Mumbai,Mumbai,,
,,AVISHKAR INTERNATIONAL PVT.LTD.,All Supplier Groups,Company,FRANCE,USD,,,,91-22-22011074,91-22-22067771,avishkar@vsnl.com,"GHIA BUILDING, GROUND FLOOR,","119/123, PRINCESS STREET,",MUMBAI- 400 002,,,
,,AXIOM,All Supplier Groups,Company,FRANCE,NGN,,,Axiom ,,,,Address Address,lagos,,,,
,,AZEEZ ADETIBA,All Supplier Groups,Company,FRANCE,NGN,,,AZEEZ ADETIBA,8054668442,,,PLOT 50,LAGOS STREET,Garki ,FCT,,
,,BANJ MEDICAL SUPPLIES,All Supplier Groups,Company,FRANCE,USD,www.banj.com,,MR Andrew John,8123418789,8123418789,andrewjohn@banj.com,"Plot 1129, Image Street","Medical Zone, UJI",Maitama,Fct,,
,,BAUR BIOMEDICAL ELECTRONICS,All Supplier Groups,Company,FRANCE,NGN,,,BAUR BIOMEDICAL ELECTONICS,+49-651-99565466 ,+ 49-651-99565467,,"Schweringstr. 17, 54294, Trier, Germany.","Schweringstr. 17, 54294, Trier",,,,
,,BD,All Supplier Groups,Company,FRANCE,USD,www.europe.bd.com,,Toni Fels,+233 302 769692,+233 302 769692,toni_fels@europe.bd.com,"Suite 501, 5th Floor","
Adwoa Adejeiwoa Building, Osu Oxford Street, ",Accra,,,
