Name,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,UnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,ReorderPoint,ReorderQuantity,DefaultLocation,DefaultSublocation,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,SKU,Machine S/No,IsActive,,
  MTP BOARD FOR SLEE TISSUE PROCESSOR,SLEE,Stockable,FALSE,,,,MTP BOARD REF NO: 39500341 AMO82140200441 ( FACULTY),0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 ADJUST BLOCK ASSY ,ELITECH SPARE PARTS,Stockable,FALSE,,,,6001-420 ,55692,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 CA 29-9 CHECK,OPTIKA,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 CASA(computer assisted semen analysis),BIOGENEX,Stockable,FALSE,,,, CASA(computer assisted semen analysis),0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
" CEA ELISA, PK   ",DIASOURCE,Stockable,FALSE,,,,ELISA 96 test,115200,,FALSE,FALSE,0,,Diasource ImmunoAssays® S.A.,,0,DCLCCR1158,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
 Cuvettes (Consumables),Fine Care,Stockable,FALSE,,,,1 Pack (100pics Of Cuvettes),15500,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 CYBERNET POWER CORD,Elitech,Stockable,FALSE,,,,40WPSU-2341 S/N: H00000463,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 ECO PIPETTE 5-50UL,CAPP ,Stockable,FALSE,,,,1.800 RPM,0,,FALSE,FALSE,0,,CAPP,CRP-18X,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,CRP-18X,,TRUE,,
 ERMA PRE-AMP (SENSOR) BOARD,Erma,Stockable,FALSE,,,,PRE-AMP (SENSOR) BOARD PCE-7033D,0,-100,FALSE,FALSE,65217.3913,,ERMA INC.,210B-15,150,DCLSP306,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
" FULLY ATOMATED CHEMISTRY ANALYZER, (PRO XS)",Elitech,Stockable,FALSE,,,,"SELECTRA PRO SX, 75 TEST/HR. 
NO ISE.",9800000,96,FALSE,FALSE,5000000,,Elitech Group B.V (Instruments/spare parts),,0,,1,3,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
 FUME HOOD CABINET FH1000(E),BIOBASE,Stockable,FALSE,,,,FH1000(E),0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 HANDLING,YAMATO,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 HCV Rapid Test Strip,SUNSHINE MEDICAL,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 HEMOSCALE ,SUNSHINE MEDICAL,Stockable,FALSE,,,,"HEMOSCALE BLOOD COLLECTION SCALE,",695000,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,450,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
" INSTRUMENT SET FOR SUTURES,INCLUDING HOLLOWARE,FOR OPD",SURGIMAX,Stockable,FALSE,,,,"Instrument set for sutures, including holloware, for OPD, Brand:Surgimax  Model No:21-206-16 Colour:stainless, per item specs in spec sheet, pack size: set",57.95,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,21-206-16,,TRUE,,
 INVERTER,SUNSHINE MEDICAL,Stockable,FALSE,,,,TACTEL PURE SINE WAVE INVERTER(5KVA),0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 K2E (EDTA) 5ML,SUNSHINE MEDICAL,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,packs,,1,1,,1,1,,,,,,,,TRUE,,
 LAMP,ELITECH SPARE PARTS,Stockable,FALSE,,,,"33380-018, 12v20v",18252,0,FALSE,FALSE,18252,,Elitech Group B.V (Instruments/spare parts),,0,DCLSP004,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
 LAMP 12V-20W ,ELITECH SPARE PARTS,Stockable,FALSE,,,,33380-018,18252,57.63090921,FALSE,FALSE,11578.94736,,Elitech Group B.V (Instruments/spare parts),,22,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
" LDH-L SL, 4 X 25 ML   ",Elitech,Stockable,FALSE,,,,"LDH-L SL, LLSL-0230, 4 x 25 ml ",18854.54,0,FALSE,FALSE,18854.54,,Elitech Distribution (Reagents),LLSL-0230,14.47,DCLCCR1262,5,15,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
 Methylated spirit,SHERWOOD,Stockable,FALSE,,,,2.5L,3000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 OASIG LYOPHILIZED 2X qPCR MASTER MIX,ALLIANCE GLOBAL(AGBL) REAGENTS,Stockable,FALSE,,,,150 TEST OASIG LYOPHILIZED 2XqPCR MASTER MIX THAT ACCOMPANY PLASMODIUM AND MYCOBACTERIUM TUBERCULOSIS,0,-100,FALSE,FALSE,88695.65217,,ALLIANCE GLOBAL FZ-LLC (AGBL),OASIG-STANDARD 150,204,DCLCCR1194,0,,,,,,1,1,,1,1,,,,,,OAS250,,TRUE,,
 OLD PLAB  MAINTENANCE KIT 6 MONTHS ,EDAN INSTRUMENTS INC,Stockable,FALSE,,,,2SL000040,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
" PATIENT MONITOR WITH ECG,SPO2,NIBP,TEMP FEATURES AND ITS ACCESSORY ",EDAN INSTRUMENTS INC,Stockable,FALSE,,,,"Brand: Mindray
Model:MULTI­PARAMETER (T5)
PATIENT MONITORS with NIBP, SPO2,
ECG, TEMP, RESP, HR and accessories, Batteries, ETCO2, IBP, Mobile stand
",730000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 PIPETTE TIPS ,SUNSHINE MEDICAL,Stockable,FALSE,,,,YELLOW AND BLUE,0,,FALSE,FALSE,0,,,,,,0,,,,packs,,1,1,,1,1,,,,,,,,TRUE,,
 PROLACTIN ,DIASOURCE,Stockable,FALSE,,,,"PROLACTIN, KAPD1291 96 TEST  ",169600,667.2381038,FALSE,FALSE,22105.26291,,Diasource ImmunoAssays® S.A.,KAPD1289,42,DCLCCR1137,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
 Pulse Oximeter,SUNSHINE MEDICAL,Stockable,FALSE,,,,"Name: Pulse Oximeter
Model: CMS50DL
Manufacturer: Contec
Country of Manufacture: China
",120000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 ROLLER BASE FOR NUVE CO2 INCUBATOR EC 160,NUVE,Stockable,FALSE,,,,ROLLER BASE,0,-100,FALSE,FALSE,92625.39462,,Nuve,Z11.A 08 148,199.66,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 ROTOR 4.100RPM,NUVE,Stockable,FALSE,,,,MP 200 MICROLITRE ROTOR,0,-100,FALSE,FALSE,86408.92518,,Nuve,Z11.B 50 021,186.26,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
 SGS INSPECTION,YAMATO,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
" TIMER/STOPWATCH, PCS ",SLEE,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,SLEE medical GmbH,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
 Weighing Scale,SUNSHINE MEDICAL,Non-Stocked,FALSE,,,,Make: Ocean med,63000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"0.5ML THIN WALL PCR TUBE, 500 TUBES ",ALLIANCE GLOBAL(AGBL) REAGENTS,Stockable,FALSE,,,,500 tubes,0,,FALSE,FALSE,0,,ALLIANCE GLOBAL,,0,DCLCCR1173,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
1.2ML REACTION TUBES IN RACK (STERILE),APDIA,Stockable,FALSE,,,,96 INDIVIDUAL TUBES (STERILE),0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
1.5ML EPPENDORF MICROTUBE,MAXMAT,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,BM 00-004-5,,TRUE,,
1/4 PLYWOOD,FACILITY MAINTENANCE,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"10 % CUSTOM DUTY, HANDLING AND REGULATORY CHARGES",MINI VIDAS ,Service,FALSE,,,,1 % Stamp Duty,10290,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
10% custom duty handling and regulatory charges,Cephid,Non-Stocked,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
100 AMP BREAKER,FACILITY MAINTENANCE,Stockable,FALSE,,,,100 AMP BREAKER,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
1000UL TIP RACK,SUNSHINE MEDICAL,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
100UL TIP RACK,SUNSHINE MEDICAL,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
10-5ML ADAPTER,MAXMAT,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,BM 18-001-1,,TRUE,,
10ML SCREW CAP TUBES,MAXMAT,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,BM 00-015-50,,TRUE,,
10ML TO 0.5ML ADAPTER,MAXMAT,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
10ML TO 1.5ML ADAPTER,MAXMAT,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,BM 18-003-1,,TRUE,,
1137230,Vitro Scient,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"12 CHANNEL ECG, 12 CHANNEL/UNIT ",DEUTCH SCAN,Stockable,FALSE,,,,"12 CHANNEL ECG, 12 CHANNEL/UNIT",0,,FALSE,FALSE,0,,DEUTCH SCAN,DCLSKU1124,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1124,,TRUE,,
"12 SLIDE CAROUSED AEROSPRAY, BOX ",Elitech,Stockable,FALSE,,,,box,0,,FALSE,FALSE,0,,Elitech Distribution (Reagents),,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
12 Volts Relay,CELITRON,Stockable,FALSE,,,,"45900002
Mini relay 5A, 12V DC ",12800,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"14 INCH MONITOR,   PC ",MINDRAY,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,Mindray,vp7700,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,Dp7700,,TRUE,,
16 channel photometer board,Adaltis,Stockable,FALSE,,,,PL00263,3504000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
17 alpha-OH progesterone,DIASOURCE,Stockable,FALSE,,,,ELISA 96test,193600,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
1ml cryo tube with screw cap plastic,SUNSHINE MEDICAL,Stockable,FALSE,,,,1 ml cryo tube with screw cap plastic,0,-100,FALSE,FALSE,47826.08696,,"SunShine Medical Equipment Co., Ltd.",,110,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"1ML LUER LOCK SYRINGE , 100PC/PK  ",BD,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,BD International,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
2  Consulting rooms,Veda lab,Stockable,FALSE,,,,2  Consulting rooms designed with glass and wood each of diameter 15square meter          and a conference room,1643850,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
2 -20 PIPETTE,CAPP ,Stockable,FALSE,,,,2- 20UL,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
2 KVA UPS WITH BACK UP,SUNSHINE MEDICAL,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
2 Night Allowance,EDAN INSTRUMENTS INC,Service,FALSE,,,,2 Night Allowance,9000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"2, PC ",HEMONETICS,Stockable,FALSE,,,,pc,0,,FALSE,FALSE,0,,Haemotec (Pty) Ltd,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
-20 to -40°C Deep freezer,NUVE,Stockable,FALSE,,,,"Make: Nuve
Model: FR 290
Temperature: Down to 41°C Capacity: 290L
Country: Germany
",4550000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
20ul PLUGGED,DIAGON,Stockable,FALSE,,,,20uL plugged/Plugger pipet,3000,0,FALSE,FALSE,3000,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
20UL PLUGGED PIPET 25pc/vial,DIAGON,Stockable,FALSE,,,,20UL PLUGGED PIPET  7-091-0200,3000,35.80430104,FALSE,FALSE,2209.06111,,,,,DCLCH1033,0,,,,btl,,1,1,,1,1,,,,,,,,TRUE,,
220V Motorized Cordless Serological pipette Controller 0.1 to100ml,CAPP ,Stockable,FALSE,,,,"Make: CAPP  Controller
Model: Pipette Controller
Capacity: 0.1-100ml
",0,-100,FALSE,FALSE,56956.52174,,CAPP,T100-G,131,,0,,,,,,1,1,,1,1,,,,,,T100-G,,TRUE,,
220V Standard MaX homogenizer,Pro Scientific,Stockable,FALSE,,,,"220V Standard MaX
Homogenizing Package;
220V Bio-Gen PRO200 Homogenizer 
•10mm X 115mm saw-tooth probe (Volume range 1ml-100ml)
•Protective Carrying Case 
",0,-100,FALSE,FALSE,697582.9384,,Proscientific Inc.,8479820040,1436,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
24 SURE V3 PACK,OPTIKA,Stockable,FALSE,,,,"(16 hybridizations, up to 32 samples)
includes : Fluorescent Labelling System (dCTP), Sureplex DNA Amplification System and Human Cot DNA",0,-100,FALSE,FALSE,1765000,,ALLIANCE GLOBAL FZ-LLC (AGBL),PR-10-408702-PK,4059.5,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
24 Volts Relay,CELITRON,Stockable,FALSE,,,,"45900001
Mini relay 5A, 24V AC ",12800,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
25 DEGREES INCUBATOR,KERMEL,Stockable,FALSE,,,,25 DEGREES INCUBATOR,986000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
25 PIECES OF VARIOUS MACHINE COVER FOR TECHNICAL AND SALES DEPARTMENT,FACILITY MAINTENANCE,Stockable,FALSE,,,,VARIOUS MACHINE COVER FOR TECHNICAL AND SALES DEPARTMENT,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"250 ML SINGLE PEDIATRIC BLOOD BAGS, 250 ML ",LMB DONO PACK BAG,Stockable,FALSE,,,,"250 ML SINGLE PEDIATRIC BLOOD BAGS, DP10106, 250 ML",8625,0,FALSE,FALSE,8625,,Lmb Technologie GmbH,DP10106,8625,DCLCH1011,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pouch,,1,1,,1,1,,,,,,DP10106,,TRUE,,
