"OrderNumber","InventoryStatus","PaymentStatus","Vendor","ContactName","Phone","VendorAddress1","VendorAddress2","VendorCity","VendorState","VendorCountry","VendorPostalCode","VendorAddressRemarks","ShipToCompanyName","ShipToAddress1","ShipToAddress2","ShipToCity","ShipToState","ShipToCountry","ShipToPostalCode","ShipToAddressRemarks","CurrencyCode","ExchangeRate","NonVendorCost","OrderDate","OrderRemarks","Freight","DueDate","DatePaid","AmountPaid","RequestedShipDate","VendorOrderNumber","Location","PaymentTerms","PaymentMethod","TaxingScheme","Tax1Rate","Tax2Rate","CalculateTax2OnTax1","Tax1Name","Tax2Name","Tax1OnShipping","Tax2OnShipping","ItemName","ItemDescription","ItemQuantity","ItemQuantityUoM","ItemUnitPrice","ItemDiscount","VendorItemCode","ItemSubtotal","ItemSerials","SpecialTaxRate","IsCancelled"
"PO-000032","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","7/7/2017 8:41:02 AM","Terms:
Preferred maunfacturer: Elitech Group
Preferred Currency: EURO
Country of maunfacture: EU
Payment plan: 100%payment within 30 days of invoice
Preferred delivery plan: within 15 days of order
Preferred port: Lagos Airport



Opara Vivian
Head of Supply Chain Dept
","","7/31/2017 12:00:00 AM","","0.00000","7/31/2017 12:00:00 AM","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","True","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","10.0000","btl","37.82000","10 %","SLHC-5900-EE","340.38000","","Taxable","False"
"PO-000065","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","10/13/2017 12:49:18 PM","TERMS:

PAYMENT: 100% ADVANCED PAYMENT

MODE OF SHIPPMENT: AIR FREIGHT.

DELIVERY: WITHIN 28 DAYS OF RECEIPT OF PO.
OPARA VIVIAN
SUPPLY CHAIN UNIT.","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","True","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","10.0000","btl","37.82000","0 %","SLHC-5900-EE","378.20000","","Taxable","False"
"PO-000085","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","FRANCE","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","11/17/2017 11:21:33 AM","TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","True","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","30.0000","btl","37.82000","0 %","SLHC-5900-EE","1134.60000","","Taxable","False"
"PO-000170","Started","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","4/20/2018 12:55:02 PM","TERM: 


PAYMENT: NET 60 DAYS 

DELIVERY : WITHIN 28 DAYS OF ORDER CONFIRMATION.


SHIPMENT: CIP LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.


","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","False","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","20.0000","btl","37.82000","0 %","SLHC-5900-EE","756.40000","","Taxable","False"
"PO-000198","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","7/20/2018 11:28:11 AM","TERMS:

PAYMENT: NET 45 DAYS

DELIVERY: WITHIN 28 DAYS OF ORDER CONFIRMATION.

PORT OF DESTINATION: CIP,LAGOS AIRPORT.






VIVIAN OPARA
SUPPLY CHAIN DEPT.","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","False","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","35.0000","btl","37.82000","0 %","SLHC-5900-EE","1323.70000","","Taxable","False"
"PO-000256","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","10/25/2018 2:48:49 PM","TERMS:

PAYMENT: NET 30.

DELIVERY: WITHIN 28DAYS OF ORDER CONFIRMATION.

MODE OF SHIPMENT: AIR FREIGHT.

PORT OF DESTINATION: LAGOS AIRPORT.




VIVIAN OPARA.
SUPPLY CHAIN DEPT.","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","False","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","20.0000","btl","37.82000","0 %","SLHC-5900-EE","756.40000","","Taxable","False"
"PO-000290","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","12/6/2018 1:32:14 PM","TERMS:

PAYMENT: NET 30 DAYS

DELIVERY PERIOD: WITHIN 28 DAYS OF ORDER CONFIRMATION.

TERMS OF DELIVERY: CIP LAGOS AIR PORT.





VIVIAN OPARA.
SUPPLY CHAIN MANAGER","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","False","True","ACID SOLUTION (needle rinse)","1L Acid solution (needle rinse), SLHC-5900-EE","20.0000","btl","37.82000","0 %","SLHC-5900-EE","756.40000","","Taxable","False"
"PO-000309","Unfulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","1/11/2019 3:39:39 PM","Terms: 

payment:  net 30 days.

delivery: within 28 days of order confirmation.

terms of delivery: CIP Lagos airport.

Shelf life: up to 95% shelf life







Vivia Opara.

suply chain manager.

","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","False","True","ALT/GPT, 8X25 ML ","ALT/GPT, ALSL 0250,8x25 ml","10.0000","","23.74000","0 %","ALSL-0250","237.40000","","Taxable","False"
"PO-000318","Unfulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","2/6/2019 11:50:25 AM","Terms: 

payment:  net 30 days.

delivery: within 28 days of order confirmation.

terms of delivery: CIP Lagos airport.

Shelf life: up to 95% shelf life







Vivia Opara.

suply chain manager.

","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","False","True","ALT/GPT, 8X25 ML ","ALT/GPT, ALSL 0250,8x25 ml","5.0000","","23.74000","0 %","ALSL-0250","118.70000","","Taxable","False"
"PO-000085","Fulfilled","Unpaid","Elitech Distribution (Reagents)","Odile Chandavoine","+33 2 33 81 21 10","Zone Industrill,61500","SEES- France","","FRANCE","France","","","DCL Laboratory Products Ltd","DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki","Abuja","","Nigeria","PMB 690","","EUR","0.0019000000","","11/17/2017 11:21:33 AM","TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.","","","","0.00000","","","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja","","","No Tax","0.00000","0.00000","False","","","True","True","ALT/GPT, 8X25 ML ","ALT/GPT, ALSL 0250,8x25 ml","30.0000","","23.74000","0 %","ALSL-0250","712.20000","","Taxable","False"
