OrderNumber,InventoryStatus,PaymentStatus,Vendor,ContactName,Phone,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorCountry,VendorPostalCode,VendorAddressRemarks,ShipToCompanyName,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToCountry,ShipToPostalCode,ShipToAddressRemarks,CurrencyCode,ExchangeRate,NonVendorCost,OrderDate,OrderRemarks,Freight,DueDate,DatePaid,AmountPaid,RequestedShipDate,VendorOrderNumber,Location,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,VendorItemCode,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled
PO-000269,Unfulfilled,Unpaid,INTEGRATED LAB TRADING LLC,JOHNNIE ALLOTEY,97155382093,"Suite 2304,Damac XL Tower",,U.A.E,,,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,11/8/2018 12:38:48 PM,"TERMS:

PAYMENT: 100% PRE-PAYMENT.

DELIVERY PERIOD:  WITHIN 28 DAYS OF PAYMENT CONFIRMATION.

TERMS OF DELIVERY:  EXW

PREFERRED FORWARDER:

DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




VIVIAN OPARA

SUPPLY CHAIN MANAGER",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,"AEROBIC CULTURE BOTTLE, ",,1,cases,139,0 %,442192,139,,Taxable,False
PO-000269,Unfulfilled,Unpaid,INTEGRATED LAB TRADING LLC,JOHNNIE ALLOTEY,97155382093,"Suite 2304,Damac XL Tower",,U.A.E,,,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,11/8/2018 12:38:48 PM,"TERMS:

PAYMENT: 100% PRE-PAYMENT.

DELIVERY PERIOD:  WITHIN 28 DAYS OF PAYMENT CONFIRMATION.

TERMS OF DELIVERY:  EXW

PREFERRED FORWARDER:

DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




VIVIAN OPARA

SUPPLY CHAIN MANAGER",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,PEDIATIC CULTURE BOTTLE,,1,btl,139,0 %,442194,139,,Taxable,False
PO-000269,Unfulfilled,Unpaid,INTEGRATED LAB TRADING LLC,JOHNNIE ALLOTEY,97155382093,"Suite 2304,Damac XL Tower",,U.A.E,,,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,11/8/2018 12:38:48 PM,"TERMS:

PAYMENT: 100% PRE-PAYMENT.

DELIVERY PERIOD:  WITHIN 28 DAYS OF PAYMENT CONFIRMATION.

TERMS OF DELIVERY:  EXW

PREFERRED FORWARDER:

DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




VIVIAN OPARA

SUPPLY CHAIN MANAGER",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,ANAEROBIC CULTURE BOTTLE,,1,,139,0 %,442193,139,,Taxable,False
PO-000270,Fulfilled,Owing,Robinson Healthcare Limited,Stephen Jones(International buisness Director),+44 (0)1909 735000(customer service),Robinson Healthcare Limited,Lawn Road,Carlton-in-LindrickWorksop,,United Kingdom,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,GBP,0.00512,,11/8/2018 1:15:28 PM,"Terms: 

Payment: 100% within 7days of PO.

Delivery Date: 4th Dec 2018.

Terms of Delivery: EXW UK.

Preferred Fowarder: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




Vivian Opara,
Supply Chain Manager.




Vivian Opara
Supply Chain Manager",,,11/30/2018 11:40:02 AM,20436.9,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,Alcohol swabs,Alcohol swabs.Pack of 100 (X 12 Packs),1122,,0,0 %,5885,0,,Taxable,False
PO-000270,Fulfilled,Owing,Robinson Healthcare Limited,Stephen Jones(International buisness Director),+44 (0)1909 735000(customer service),Robinson Healthcare Limited,Lawn Road,Carlton-in-LindrickWorksop,,United Kingdom,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,GBP,0.00512,,11/8/2018 1:15:28 PM,"Terms: 

Payment: 100% within 7days of PO.

Delivery Date: 4th Dec 2018.

Terms of Delivery: EXW UK.

Preferred Fowarder: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




Vivian Opara,
Supply Chain Manager.




Vivian Opara
Supply Chain Manager",,,11/30/2018 11:40:02 AM,20436.9,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,Alcohol swabs,Alcohol swabs.Pack of 100 (X 12 Packs),102,,5.5,0 %,5885,561,,Taxable,False
PO-000270,Fulfilled,Owing,Robinson Healthcare Limited,Stephen Jones(International buisness Director),+44 (0)1909 735000(customer service),Robinson Healthcare Limited,Lawn Road,Carlton-in-LindrickWorksop,,United Kingdom,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,GBP,0.00512,,11/8/2018 1:15:28 PM,"Terms: 

Payment: 100% within 7days of PO.

Delivery Date: 4th Dec 2018.

Terms of Delivery: EXW UK.

Preferred Fowarder: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




Vivian Opara,
Supply Chain Manager.




Vivian Opara
Supply Chain Manager",,,11/30/2018 11:40:02 AM,20436.9,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,"Examination hand gloves, powdered free","Examination hand gloves , powdered free . size: medium, 100 Gloves per Carton X 10 Cartons",440,,26.97,0 %,9507,11866.8,,Taxable,False
PO-000270,Fulfilled,Owing,Robinson Healthcare Limited,Stephen Jones(International buisness Director),+44 (0)1909 735000(customer service),Robinson Healthcare Limited,Lawn Road,Carlton-in-LindrickWorksop,,United Kingdom,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,GBP,0.00512,,11/8/2018 1:15:28 PM,"Terms: 

Payment: 100% within 7days of PO.

Delivery Date: 4th Dec 2018.

Terms of Delivery: EXW UK.

Preferred Fowarder: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-9858-28
Fax: +49 (0) 6107-9858-19
E-Mail: 
e.nowakowska@dwf-airservice.de
 Aldo Infuso a.infuso@dwf-airservice.de
n.debs@dwf-airservice.de
j.bergemann@dwf-airservice.de




Vivian Opara,
Supply Chain Manager.




Vivian Opara
Supply Chain Manager",,,11/30/2018 11:40:02 AM,20436.9,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,"Examination hand gloves, Nitrile ","Examination hand gloves, Nitrile  size:Large 100 Gloves per Carton X 10 Cartons",41,,25.5,0 %,9538,1045.5,,Taxable,False
PO-000271,Fulfilled,Partial,"Autobio Diagnostics Co., Ltd",Leo Yang,+86-13526828037,"No. 87 Jingbei Yi Road, ",National Eco & TeC Development Area.,Zhengzhou,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,11/8/2018 3:12:50 PM,"TERMS:

PAYMENT:100% PREPAMENT

DELIVERY: WITHIN 14 DAYS OF PAYMENT CONFIRMATION

TERMS OF DELIVERY: C&F LAGOS AIRPORT.





VIVIAN OPARA

SUPPLY CHAIN MANAGER.",1075,12/11/2018 11:48:36 AM,11/20/2018 2:49:51 PM,3058,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",NET0,,No Tax,0,0,False,,,False,True,AUTOBIO HBSAG KIT(96 TESTS),"HBSAG KIT(96 TESTS), E0315  ",70,,12,0 %,E0315  ,840,,Taxable,False
PO-000271,Fulfilled,Partial,"Autobio Diagnostics Co., Ltd",Leo Yang,+86-13526828037,"No. 87 Jingbei Yi Road, ",National Eco & TeC Development Area.,Zhengzhou,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,11/8/2018 3:12:50 PM,"TERMS:

PAYMENT:100% PREPAMENT

DELIVERY: WITHIN 14 DAYS OF PAYMENT CONFIRMATION

TERMS OF DELIVERY: C&F LAGOS AIRPORT.





VIVIAN OPARA

SUPPLY CHAIN MANAGER.",1075,12/11/2018 11:48:36 AM,11/20/2018 2:49:51 PM,3058,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",NET0,,No Tax,0,0,False,,,False,True,AUTOBIO HCV KIT (96 TESTS),"HCV KIT (96 TESTS), E0320 ",50,,18,0 %,E0320 ,900,,Taxable,False
PO-000271,Fulfilled,Partial,"Autobio Diagnostics Co., Ltd",Leo Yang,+86-13526828037,"No. 87 Jingbei Yi Road, ",National Eco & TeC Development Area.,Zhengzhou,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,11/8/2018 3:12:50 PM,"TERMS:

PAYMENT:100% PREPAMENT

DELIVERY: WITHIN 14 DAYS OF PAYMENT CONFIRMATION

TERMS OF DELIVERY: C&F LAGOS AIRPORT.





VIVIAN OPARA

SUPPLY CHAIN MANAGER.",1075,12/11/2018 11:48:36 AM,11/20/2018 2:49:51 PM,3058,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",NET0,,No Tax,0,0,False,,,False,True,AUTOBIO HIV KIT,"HIV KIT (1&2) 96 TESTS, E0321   ",20,,25,0 %,E0321   ,500,,Taxable,False
