OrderNumber,InventoryStatus,PaymentStatus,Vendor,ContactName,Phone,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorCountry,VendorPostalCode,VendorAddressRemarks,ShipToCompanyName,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToCountry,ShipToPostalCode,ShipToAddressRemarks,CurrencyCode,ExchangeRate,NonVendorCost,OrderDate,OrderRemarks,Freight,DueDate,DatePaid,AmountPaid,RequestedShipDate,VendorOrderNumber,Location,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,VendorItemCode,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled,
PO-000078,Unfulfilled,Partial,Sam Njoku & Co.,"The Managing Director, Bosch Medical Engineering Ltd",,"22 Otukpo street, Area 11",,Garki ,FCT,Nigeria,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/9/2017 5:14:08 PM,"Terms
 Payment: 200,000 naira part-payment
 Balance: To be paid later",,,12/4/2017 1:38:45 PM,200000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,Balance of Audit Fee for year 2015,Balance of Audit Fee for year 2015,1,,50000,0 %,,50000,,Taxable,False,
PO-000078,Unfulfilled,Partial,Sam Njoku & Co.,"The Managing Director, Bosch Medical Engineering Ltd",,"22 Otukpo street, Area 11",,Garki ,FCT,Nigeria,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/9/2017 5:14:08 PM,"Terms
 Payment: 200,000 naira part-payment
 Balance: To be paid later",,,12/4/2017 1:38:45 PM,200000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,Tax Audit (Stocked Product),Tax Audit,1,,250000,0 %,,250000,,Taxable,False,
PO-000078,Unfulfilled,Partial,Sam Njoku & Co.,"The Managing Director, Bosch Medical Engineering Ltd",,"22 Otukpo street, Area 11",,Garki ,FCT,Nigeria,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/9/2017 5:14:08 PM,"Terms
 Payment: 200,000 naira part-payment
 Balance: To be paid later",,,12/4/2017 1:38:45 PM,200000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,Audit Fee 2016- Vitamed,Audit Fee 2016- Vitamed,1,,100000,0 %,,100000,,Taxable,False,
PO-000078,Unfulfilled,Partial,Sam Njoku & Co.,"The Managing Director, Bosch Medical Engineering Ltd",,"22 Otukpo street, Area 11",,Garki ,FCT,Nigeria,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/9/2017 5:14:08 PM,"Terms
 Payment: 200,000 naira part-payment
 Balance: To be paid later",,,12/4/2017 1:38:45 PM,200000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,Audit Fee 2016- Bosch,Audit Fee 2016- Bosch,1,,100000,0 %,,100000,,Taxable,False,
PO-000079,Unfulfilled,Paid,GAMED ENTERPRISES,GABRIEL IBE .C,8030568932,"64 JEWEL STREET, KUBWA ",,FCT,ABUJA,NIGERIA,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/11/2017 2:00:39 PM,"TERMS

PAYMENT; 100% ADVANCED PAYMENT.





VIVIAN OPARA
SUPPLY CHAIN UNIT.",,,11/27/2017 12:16:30 PM,60000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,INSTALLATION OF 7 LENGTH OF 2.5 STAINLESS TRIM,installation of 7 length of 2.5 stainless trim.,1,,60000,0 %,,60000,,Taxable,False,
PO-000080,Fulfilled,Paid,Mindray,Deigo Fang,+86 186 6588 9818(CHN), +234 909 040 4228(NG) ,"Shenzhen Mindray Bio-Medical
Electronics co., Ltd.",,,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,0 %,11/13/2017 11:44:11 AM,"TERMS:

PAYMENT: 100% advance payment.
DELIVERY: Within 14days.
MODE OF SHIPPMENT: Airfreight
C&F: Lagos Airport.





Vivian Opara.
supply chain unit.",580,,11/15/2017 11:10:56 AM,10665,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,MICROBIOLOGY ANALYSIS SYSTEM ,"Microbiology analysis system, MODEL: TDR 300B",1,,10000,0 %,"7905B-PA00001, MODEL: TDR 300B",10000,,Taxable,False
PO-000080,Fulfilled,Paid,Mindray,Deigo Fang,+86 186 6588 9818(CHN), +234 909 040 4228(NG) ,"Shenzhen Mindray Bio-Medical
Electronics co., Ltd.",,,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,0 %,11/13/2017 11:44:11 AM,"TERMS:

PAYMENT: 100% advance payment.
DELIVERY: Within 14days.
MODE OF SHIPPMENT: Airfreight
C&F: Lagos Airport.





Vivian Opara.
supply chain unit.",580,,11/15/2017 11:10:56 AM,10665,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,TDR STAPH-64,TDR STAPH-64 card,1,,85,0 %,105-003743-00,85,,Taxable,False
PO-000080,Fulfilled,Paid,Mindray,Deigo Fang,+86 186 6588 9818(CHN), +234 909 040 4228(NG) ,"Shenzhen Mindray Bio-Medical
Electronics co., Ltd.",,,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,0 %,11/13/2017 11:44:11 AM,"TERMS:

PAYMENT: 100% advance payment.
DELIVERY: Within 14days.
MODE OF SHIPPMENT: Airfreight
C&F: Lagos Airport.





Vivian Opara.
supply chain unit.",580,,11/15/2017 11:10:56 AM,10665,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,TDR STR -64,TDR STR-64,1,,0,0 %,105-003745-00,0,,Taxable,False
PO-000080,Fulfilled,Paid,Mindray,Deigo Fang,+86 186 6588 9818(CHN), +234 909 040 4228(NG) ,"Shenzhen Mindray Bio-Medical
Electronics co., Ltd.",,,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,0 %,11/13/2017 11:44:11 AM,"TERMS:

PAYMENT: 100% advance payment.
DELIVERY: Within 14days.
MODE OF SHIPPMENT: Airfreight
C&F: Lagos Airport.





Vivian Opara.
supply chain unit.",580,,11/15/2017 11:10:56 AM,10665,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,TDR NF -64,TDR STR-64,1,,0,0 %,105-003747-00,0,,Taxable,False
PO-000080,Fulfilled,Paid,Mindray,Deigo Fang,+86 186 6588 9818(CHN), +234 909 040 4228(NG) ,"Shenzhen Mindray Bio-Medical
Electronics co., Ltd.",,,,China,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,0 %,11/13/2017 11:44:11 AM,"TERMS:

PAYMENT: 100% advance payment.
DELIVERY: Within 14days.
MODE OF SHIPPMENT: Airfreight
C&F: Lagos Airport.





Vivian Opara.
supply chain unit.",580,,11/15/2017 11:10:56 AM,10665,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,TDR ONE-64,TDR ONE-64,1,,0,0 %,105-003748-00,0,,Taxable,False
