OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,ShipToCompanyName,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Sales Type,Sales Person,LPO Date,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"QC ELECTROLYTE SOLUTION, BTLS ",QC SOLUTION 50 ML,4,btl,28252.3,0 %,113009.2,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"ISE CALIBRATOR, 2 X (6X20ML) ","ISE Calibrator, ISCA-0250, 2 x (6x20ml)",5,,77064.9,0 %,385324.5,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"TOTAL PROTEIN PLUS, 4X250   ML ",4X250   ML PROB-0700,2,,13754.07,0 %,27508.14,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,TOTAL PROTEIN PLUS 12X20ML VTL ,TOTAL PROTEIN PLUS 12X20ML VTL,2,,13754.07,0 %,27508.14,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"TRIGL MONO SL, 6 X 45 ML ","TRIGL MONO SL, TGML 0455, 6 x 45 ml ",10,,18044.73,0 %,180447.3,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"URIC ACID MONO SL, 12X20ML","URIC ACID MONO SL, AUML-0250, 12x20ml",6,,19634.67,0 %,117808.02,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"UREA UV SL, 4 X 55 ML ",URSL 0455,14,,15420.24,0 %,215883.36,,Taxable,False,
SO-000919,Fulfilled,Invoiced,UNIVERSITY OF ABUJA TEACHING HOSPITAL,MR PAUL,8035891795,info@uath.gov.ng,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,,University of Abuja Teaching Hospital,"P.M.B. 228, Gwagwalada",Gwagwalada,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:24:30 AM,,,3/27/2018 4:06:11 PM,4/6/2018 4:06:11 PM,,0,10/17/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,lpo  SUPPLY,,,"SAMPLE CUPS, 2 ML ","SAMPLE CUPS, 3062-021",1,packs,77064.9,0 %,77064.9,,Taxable,False,
SO-000920,Fulfilled,Invoiced,KINGS CARE HOSPITAL,MRS BUMI,8058293270,,"Plot 2181, Ibb Way, Zone 4 Abuja",WUSE ZONE 4,WUSE,ABUJA,NIGERIA,,,,"Plot 2181, Ibb Way, Zone 4 Abuja",WUSE ZONE 4,WUSE,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:34:59 AM,,,10/17/2017 9:36:26 AM,10/17/2017 9:36:26 AM,,0,,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,NORMAL,,,"MYTHIC 18 CLEANING SOLUTION, 1L ","Mythic 18 CLEANING SOLUTION, HM18-007-1",1,btl,43750,0 %,43750,,Taxable,False,
SO-000920,Fulfilled,Invoiced,KINGS CARE HOSPITAL,MRS BUMI,8058293270,,"Plot 2181, Ibb Way, Zone 4 Abuja",WUSE ZONE 4,WUSE,ABUJA,NIGERIA,,,,"Plot 2181, Ibb Way, Zone 4 Abuja",WUSE ZONE 4,WUSE,ABUJA,NIGERIA,,,NGN,1,,10/17/2017 9:34:59 AM,,,10/17/2017 9:36:26 AM,10/17/2017 9:36:26 AM,,0,,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,NORMAL,,,MYTHIC 18 LYSE 0.5L ,"Mythic 18 Cyanide free  Lytic Solution 0.5L, HM18-008-05",1,btl,43750,0 %,43750,,Taxable,False,
