"*AssetName","*AssetNumber","AssetStatus","PurchaseDate","PurchasePrice","AssetType","Description","TrackingCategory1","TrackingOption1","TrackingCategory2","TrackingOption2","SerialNumber","WarrantyExpiry","Book_DepreciationStartDate","Book_CostLimit","Book_ResidualValue","Book_DepreciationMethod","Book_AveragingMethod","Book_Rate","Book_EffectiveLife","Book_OpeningBookAccumulatedDepreciation","Book_BookValue","AccumulatedDepreciation","DepreciationToDate","DisposalDate"
"Dell desktop computers/keyboard/mouse/CPU","DCL/GH/001","Draft","5/1/2014","2300.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","2300.00","0.00","",""
"Canon Scanner","DCL/GH/002","Draft","5/1/2014","650.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","650.00","0.00","",""
"UPS","DCL/GH/003","Draft","5/1/2014","850.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","850.00","0.00","",""
"D-link Telephone","DCL/GH/004","Draft","5/1/2014","1250.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","1250.00","0.00","",""
"perforator","DCL/GH/005","Draft","5/1/2014","55.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","55.00","0.00","",""
"Stapler","DCL/GH/006","Draft","5/1/2014","82.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","82.00","0.00","",""
"Water Dispenser","DCL/GH/007","Draft","5/1/2014","780.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","780.00","0.00","",""
"Reception Desk","DCL/GH/008","Draft","5/1/2014","2200.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","2200.00","0.00","",""
"Swivel chair","DCL/GH/009","Draft","5/1/2014","480.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","480.00","0.00","",""
"Set of office chairs","DCL/GH/010","Draft","5/1/2014","4200.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","4200.00","0.00","",""
"Wall frame","DCL/GH/011","Draft","5/1/2014","320.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","320.00","0.00","",""
"Dustbin","DCL/GH/012","Draft","5/1/2014","42.00","","","","","","","","","5/1/2014","","","No Depreciation","","","","0.00","42.00","0.00","",""
